column,dtype,non_null,missing,n_unique
bilirubintotal_last,float64,125839,434647,1055
bun_last,float64,212872,347614,189
bun/creatratio_last,float64,166601,393885,685
calcium_last,float64,214199,346287,123
calculatedco2(poc)_last,float64,45393,515093,47
calculatedhco3(poc)i_last,float64,38994,521492,509
calculatedo2saturation(poc)_last,float64,41098,519388,95
chloride_last,float64,212951,347535,80
cktotal_last,float64,12292,548194,975
co2_last,float64,212821,347665,399
"co2calculated,venous(poc)_last",float64,15702,544784,47
"co2,poc_last",float64,51251,509235,47
creatinine_last,float64,212891,347595,1078
d-dimer_last,float64,9588,550898,935
egfr_last,float64,8514,551972,96
egfr(nonafricanamerican)_last,float64,39725,520761,143
egfr(aframer)_last,float64,27765,532721,166
eos_last,float64,220226,340260,240
eosinoabs_last,float64,45320,515166,41
epithelialcells_last,float64,8,560478,4
globulin_last,float64,109925,450561,89
glucose_last,float64,212715,347771,828
"glucose,meter_last",float64,41633,518853,581
"hco3calculated,venous(poc)_last",float64,15743,544743,444
hematocrit_last,float64,222892,337594,523
hemoglobin_last,float64,222815,337671,191
immaturegrans(abs)_last,float64,43235,517251,30
immaturegranulocytes_last,float64,43248,517238,114
inr_last,float64,78428,482058,781
"lactate,poc_last",float64,56936,503550,177
lipase_last,float64,65880,494606,719
lymphs_last,float64,220406,340080,687
magnesium_last,float64,50007,510479,50
mch_last,float64,224038,336448,341
mchc_last,float64,224039,336447,157
mcv_last,float64,224132,336354,639
monocytes_last,float64,221486,339000,301
monosabs_last,float64,44485,516001,562
mpv_last,float64,223473,337013,148
neutrophils_last,float64,221657,338829,771
nrbc_last,float64,46661,513825,151
nrbcabsolute_last,float64,45492,514994,37
"o2satcalculated,venous(poc)_last",float64,15709,544777,95
pco2(poc)_last,float64,41157,519329,121
"pco2,venous(poc)_last",float64,15743,544743,111
"ph,venous(poc)_last",float64,15745,544741,94
"phencyclidine(pcp)screen,urine,noconf._last",float64,0,560486,0
phosphorus_last,float64,39837,520649,137
platelets_last,float64,224023,336463,915
po2(poc)_last,float64,41120,519366,204
"po2,venous(poc)_last",float64,15728,544758,152
pocbun_last,float64,57275,503211,139
poccreatinine_last,float64,57329,503157,190
pocglucose_last,float64,83417,477069,726
pochematocrit_last,float64,57414,503072,67
pocionizedcalcium_last,float64,57391,503095,66
pocph_last,float64,44743,515743,119
pocpotassium_last,float64,57286,503200,72
pocsodium_last,float64,57435,503051,71
poctroponini._last,float64,925,559561,41
potassium_last,float64,208985,351501,82
proteintotal_last,float64,108952,451534,102
prothrombintime_last,float64,78354,482132,802
ptt_last,float64,49761,510725,635
rbc_last,float64,224088,336398,322
rbc/hpf_last,float64,45029,515457,911
rdw_last,float64,224117,336369,235
sodium_last,float64,212945,347541,74
troponini(poc)_last,float64,66596,493890,383
troponint_last,float64,13545,546941,170
tsh_last,float64,17647,542839,1795
wbc_last,float64,224157,336329,614
wbc/hpf_last,float64,45976,514510,908
absolutelymphocytecount_min,float64,246280,314206,215
acetonebld_min,float64,2282,558204,77
alanineaminotransferase(alt)_min,float64,185674,374812,510
albumin_min,float64,174330,386156,55
alkphos_min,float64,186701,373785,608
anc(absneutrophilcount)_min,float64,247591,312895,371
aniongap_min,float64,243463,317023,56
aspartateaminotransferase(ast)_min,float64,183791,376695,568
"b-typenatriureticpeptide,pro(probnp)_min",float64,27185,533301,3255
baseexcess(poc)_min,float64,90941,469545,61
"baseexcess,venous(poc)_min",float64,25033,535453,60
basos_min,float64,247509,312977,38
basosabs_min,float64,51566,508920,122
"benzodiazepinesscreen,urine,noconf._min",float64,14,560472,3
bilirubindirect_min,float64,118265,442221,482
bilirubintotal_min,float64,185812,374674,765
bun_min,float64,244337,316149,172
bun/creatratio_min,float64,210877,349609,606
calcium_min,float64,244969,315517,116
calculatedco2(poc)_min,float64,100313,460173,47
calculatedhco3(poc)i_min,float64,84570,475916,470
calculatedo2saturation(poc)_min,float64,90867,469619,95
chloride_min,float64,244399,316087,75
cktotal_min,float64,40342,520144,941
co2_min,float64,244346,316140,355
"co2calculated,venous(poc)_min",float64,25012,535474,47
"co2,poc_min",float64,105392,455094,47
creatinine_min,float64,244344,316142,742
d-dimer_min,float64,26537,533949,1017
egfr_min,float64,17743,542743,95
egfr(nonafricanamerican)_min,float64,58275,502211,142
egfr(aframer)_min,float64,41405,519081,165
eos_min,float64,247510,312976,189
eosinoabs_min,float64,49923,510563,36
epithelialcells_min,float64,31,560455,6
globulin_min,float64,172922,387564,82
glucose_min,float64,244254,316232,724
"glucose,meter_min",float64,79668,480818,557
"hco3calculated,venous(poc)_min",float64,25038,535448,401
hematocrit_min,float64,248974,311512,510
hemoglobin_min,float64,248930,311556,188
immaturegrans(abs)_min,float64,48605,511881,26
immaturegranulocytes_min,float64,48619,511867,98
inr_min,float64,137737,422749,599
"lactate,poc_min",float64,107161,453325,172
lipase_min,float64,121742,438744,564
lymphs_min,float64,247613,312873,640
magnesium_min,float64,109485,451001,49
mch_min,float64,249783,310703,310
mchc_min,float64,249784,310702,148
mcv_min,float64,249836,310650,579
monocytes_min,float64,248369,312117,254
